Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Clementi West,HDB 3 Room,728,Clementi West Street 2,,728 Clementi West Street 2,,,68,56,398000,https://www.99.co/singapore/sale/property/728-clementi-west-street-2-hdb-LUFrgQ83uXjeuKaFcQNHoH,43.0,2,2
Aljunied Crescent,HDB 3 Room,98,Aljunied Crescent,,98 Aljunied Crescent,,,64,51,400000,https://www.99.co/singapore/sale/property/98-aljunied-crescent-hdb-bRGsHDGz9CVKA7QMwFXDhX,48.0,3,2
Henderson,HDB 4 Room,96A,Henderson Road,,96A Henderson Road,,,82,95,999500,https://www.99.co/singapore/sale/property/96a-henderson-road-hdb-4gJRLZJHdeqEx2vNHEjdYY,4.0,3,2
Bukit Batok West,HDB 5 Room,461A,Bukit Batok West Avenue 8,,461A Bukit Batok West Avenue 8,,,120,95,850000,https://www.99.co/singapore/sale/property/461a-bukit-batok-west-avenue-8-hdb-BjRiB8x8GJEcwfwqdraRjm,4.0,4,3
Rivervale,HDB 5 Room,124,Rivervale Drive,,124 Rivervale Drive,,,120,75,560000,https://www.99.co/singapore/sale/property/124-rivervale-drive-hdb-mR7xccAjY3bC8ec5byZzf6,24.0,3,2
Jurong West,HDB 5 Room,653C,Jurong West Street 61,,653C Jurong West Street 61,,,110,78,560000,https://www.99.co/singapore/sale/property/653c-jurong-west-street-61-hdb-EkWTHd48SpBKNFDtRjnamB,21.0,3,2
Teban Gardens,HDB 4 Room,21,Teban Gardens Road,,21 Teban Gardens Road,,,91,89,580000,https://www.99.co/singapore/sale/property/21-teban-gardens-road-hdb-DWumWDFxbz2Lf688GvheiH,10.0,3,2
Lorong 8 Toa Payoh,HDB 3 Room,232,Lorong 8 Toa Payoh,,232 Lorong 8 Toa Payoh,,,65,52,368000,https://www.99.co/singapore/sale/property/232-lorong-8-toa-payoh-hdb-kZxNZjXYstbp3CdWpwpFBS,47.0,3,2
Lorong 4 Toa Payoh,HDB 4 Room,60,Lorong 4 Toa Payoh,,60 Lorong 4 Toa Payoh,,,99,75,950000,https://www.99.co/singapore/sale/property/60-lorong-4-toa-payoh-hdb-HXs5DL8Upjqof7BfNM5pe9,24.0,3,2
Woodlands,HDB Executive,789,Woodlands Avenue 6,,789 Woodlands Avenue 6,,,140,73,790000,https://www.99.co/singapore/sale/property/789-woodlands-avenue-6-hdb-MJzuFNNCo4Lcb96PqqGtbZ,26.0,4,2
Clementi,HDB 3 Room,208A,Clementi Avenue 6,,208A Clementi Avenue 6,,,68,93,630000,https://www.99.co/singapore/sale/property/208a-clementi-avenue-6-hdb-PzMCEgiCYVboBXu5UVWwBH,6.0,2,2
Teck Whye Lane,HDB 3 Room,114,Teck Whye Lane,,114 Teck Whye Lane,,,73,65,400000,https://www.99.co/singapore/sale/property/114-teck-whye-lane-hdb-gnysHx7mj7KvowerYbvBYA,34.0,2,2
Lorong 8 Toa Payoh,HDB 4 Room,222,Lorong 8 Toa Payoh,,222 Lorong 8 Toa Payoh,,,81,52,488000,https://www.99.co/singapore/sale/property/222-lorong-8-toa-payoh-hdb-ggNsaFDkdNJQxiso6hkrhZ,47.0,3,2
Tampines,HDB 5 Room,723,Tampines,,723 Tamp,,,118,73,740000,https://www.99.co/singapore/sale/property/723-tampines-street-72-hdb-U4t8yqKJyXi6J7gnXaRPbi,26.0,3,2
Paya Lebar Way,HDB 4 Room,121,Paya Lebar Way,,121 Paya Lebar Way,,,90,56,550000,https://www.99.co/singapore/sale/property/121-paya-lebar-way-hdb-HST6GpGn4V4gMy9MKdVKRj,43.0,3,2
Marsiling,HDB 4 Room,12B,Marsiling,,12B Marsil,,,92,89,560000,https://www.99.co/singapore/sale/property/12b-marsiling-lane-hdb-3HNcATSCf4Sjeo2Ak6ihMj,10.0,3,2
Woodlands,HDB 4 Room,526,Woodlands Drive 14,,526 Woodlands Drive 14,,,103,76,525000,https://www.99.co/singapore/sale/property/526-woodlands-drive-14-hdb-ZFWJSjt4kcZp3u9HX2aqaG,23.0,3,2
Telok Blangah Heights,HDB 4 Room,70C,Telok Blangah Heights,,70C Telok Blangah Heights,,,92,93,900000,https://www.99.co/singapore/sale/property/70c-telok-blangah-heights-hdb-CoKJW7aTSTGPhQ38qANsLG,6.0,3,2
Edgedale,HDB 5 Room,130,Edgedale Plains,,130 Edgedale Plains,,,111,79,645000,https://www.99.co/singapore/sale/property/130-edgedale-plains-hdb-nswLSr72ViRhjCPicvHDVr,20.0,3,2
Bishan,HDB 4 Room,290,Bishan Street 24,,290 Bishan Street 24,,,102,74,730000,https://www.99.co/singapore/sale/property/290-bishan-street-24-hdb-F5AjSggZUDkj4NKSA4uf3p,25.0,3,2
Punggol,HDB 3 Room,641B,Punggol Drive,,641B Punggol Drive,,,111,81,750000,https://www.99.co/singapore/sale/property/641b-punggol-drive-hdb-7oLYuGSGewbk7gMi7XAqN8,18.0,3,2
Upper Serangoon Crescent,HDB 5 Room,470C,Upper Serangoon Crescent,,470C Upper Serangoon Crescent,,,112,91,680000,https://www.99.co/singapore/sale/property/470c-upper-serangoon-crescent-hdb-nqorgZWwtfuZHDWaTvGqCd,8.0,3,2
Petir,HDB 3 Room,205,Petir Road,,205 Petir Road,,,72,64,390000,https://www.99.co/singapore/sale/property/205-petir-road-hdb-8BxVDUEJeEGFDgea3MQ76i,35.0,2,2
Montreal Link,HDB 4 Room,593A,Montreal Link,,593A Montreal Link,,,93,91,500000,https://www.99.co/singapore/sale/property/593a-montreal-link-hdb-HosqHdpwnemPRMM8rx8e4L,8.0,3,2
Boon Lay,HDB 5 Room,201,Boon Lay Drive,,201 Boon Lay Drive,,,121,52,580000,https://www.99.co/singapore/sale/property/201-boon-lay-drive-hdb-mCc4d5s4pd4UqojT2xqi26,47.0,3,2
Hougang,HDB 3 Room,627,Hougang Avenue 8,,627 Hougang Avenue 8,,,121,62,590000,https://www.99.co/singapore/sale/property/627-hougang-avenue-8-hdb-V4jzWRRad8NEyMGVBWxYAF,37.0,3,2
