Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Pasir Ris,HDB 4 Room,405,Pasir Ris Drive 6,,Blk 405 Pasir Ris Drive 6,,,106,65,435000,https://www.srx.com.sg/listings/100703201/for-sale-pasir-ris-drive-6-walking-distance-to-mrt-station,34.0,3,2.0
Telok Blangah,HDB 3 Room,64,Telok Blangah Drive,,Blk 64 Telok Blangah Drive,,,67,54,435000,https://www.srx.com.sg/listings/100385521/for-sale-telok-blangah-drive-telok-blangah-drive,45.0,2,2.0
Serangoon,HDB 4 Room,329,Serangoon Avenue 3,,Blk 329 Serangoon Avenue 3,,,89,62,545000,https://www.srx.com.sg/listings/100696151/for-sale-serangoon-avenue-3-for-sale-4s-blk-329-serangoon-ave-3,37.0,3,2.0
Silat,HDB 3 Room,149,Silat Avenue,,Blk 149 Silat Avenue,,,83,58,545000,https://www.srx.com.sg/listings/100607371/for-sale-silat-avenue-silat-avenue,41.0,2,2.0
Ang Mo Kio,HDB 5 Room,620,Ang Mo Kio Avenue 9,,Blk 620 Ang Mo Kio Avenue 9,,,121,56,950000,https://www.srx.com.sg/listings/99005141/for-sale-ang-mo-kio-avenue-9-5i-renovated-move-in-unit-for-sale,43.0,3,2.0
Silat,HDB 3 Room,149,Silat Avenue,,Blk 149 Silat Avenue,,,82,58,950000,https://www.srx.com.sg/listings/100617701/for-sale-silat-avenue-silat-avenue,41.0,2,2.0
Jurong West,HDB Executive,830A,Jurong West Street 81,,Blk 830A Jurong West Street 81,,,146,69,950000,https://www.srx.com.sg/listings/100316431/for-sale-jurong-west-street-81-jurong-west-street-81,30.0,3,2.0
Geylang Bahru,HDB 5 Room,59C,Geylang Bahru,,Blk 59C Geylang Bahru,,,120,74,710000,https://www.srx.com.sg/listings/100616721/for-sale-geylang-bahru-geylang-bahru,25.0,3,2.0
Jurong West,HDB Executive,830A,Jurong West Street 81,,Blk 830A Jurong West Street 81,,,146,69,710000,https://www.srx.com.sg/listings/100343351/for-sale-jurong-west-street-81-jurong-west-street-81,30.0,3,2.0
Trivelis,HDB 4 Room,311B,Trivelis,,Blk 311B Trivelis,,,79,90,710000,https://www.srx.com.sg/listings/98951391/for-sale-trivelis-clementi-avenue-4,9.0,3,2.0
Telok Blangah Heights,HDB 4 Room,69,Telok Blangah Heights,,Blk 69 Telok Blangah Heights,,,93,54,860000,https://www.srx.com.sg/listings/100105071/for-sale-telok-blangah-heights-telok-blangah-heights,45.0,3,2.0
