Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 49 Pine Green,https://www.srx.com.sg/listings/99946091/for-sale-pine-green-blk-49-jalan-tiga-4room-for-sales-corner-unit-mr,3,2,93,4 Room,Model A,2005,360000,18
Blk 49 Pine Green,https://www.srx.com.sg/listings/100366561/for-sale-pine-green-jalan-tiga,3,2,93,4 Room,Model A,2005,360000,18
Blk 511B Oleander Breeze @ Yishun,https://www.srx.com.sg/listings/97881731/for-sale-oleander-breeze-yishun-blk-511b-yishun-5-room-for-sale-newly-mop,3,2,113,5 Room,Improved,2017,360000,6
Blk 511B Oleander Breeze @ Yishun,https://www.srx.com.sg/listings/100366681/for-sale-oleander-breeze-yishun-yishun-street-51,3,2,113,5 Room,Improved,2017,358000,6
Blk 934 Jurong West Street 91,https://www.srx.com.sg/listings/100357571/for-sale-jurong-west-street-91-jurong-west-street-91,3,2,122,5 Room,Improved,1988,358000,35
Blk 542 Serangoon North Avenue 4,https://www.srx.com.sg/listings/100544261/for-sale-serangoon-north-avenue-4-serangoon-north-avenue-4,None,None,147,HDB Executive,Maisonette,1992,358000,31
Blk 64 Telok Blangah Drive,https://www.srx.com.sg/listings/100676641/for-sale-telok-blangah-drive-telok-blangah-drive,2,2,67,3 Room,New Generation,1978,538000,45
Blk 55 Chai Chee Drive,https://www.srx.com.sg/listings/100472251/for-sale-chai-chee-drive-chai-chee-drive,2,2,76,3 Room,Model A,1984,538000,39
Blk 156 Ang Mo Kio Avenue 4,https://www.srx.com.sg/listings/100691541/for-sale-ang-mo-kio-avenue-4-pure-sale-no-extension-corner-middle-floor,2,2,82,3 Room,New Generation(modified),1981,538000,42
Blk 470C Hougang Parkview,https://www.srx.com.sg/listings/100692181/for-sale-hougang-parkview-hougang-parkview,3,None,92,4 Room,Model A,2015,690000,8
Blk 606 Yishun Street 61,https://www.srx.com.sg/listings/100518751/for-sale-yishun-street-61-yishun-street-61,3,2,142,HDB Executive,Apartment,1987,690000,36
Blk 606 Yishun Street 61,https://www.srx.com.sg/listings/100513201/for-sale-yishun-street-61-yishun-street-61,3,2,142,HDB Executive,Apartment,1987,690000,36
Blk 310 Shunfu Gardens,https://www.srx.com.sg/listings/100340061/for-sale-shunfu-gardens-shunfu-road,3,2,121,5 Room,Improved,1984,538000,39
Blk 285B Toh Guan Road,https://www.srx.com.sg/listings/100398801/for-sale-toh-guan-road-toh-guan-road,3,2,102,4 Room,Model A,1998,538000,25
Blk 812C Choa Chu Kang Avenue 7,https://www.srx.com.sg/listings/100444271/for-sale-choa-chu-kang-avenue-7-high-floor-above-level-10-corner-unit-unblocked,3,2,113,5 Room,Improved,2017,538000,6
Blk 66 Bedok South Avenue 3,https://www.srx.com.sg/listings/100666131/for-sale-bedok-south-avenue-3-bedok-south-avenue-3,3,2,123,5 Room,Standard,1977,825000,46
Blk 461 Pasir Ris Drive 4,https://www.srx.com.sg/listings/99347651/for-sale-pasir-ris-drive-4-pasir-ris-drive-4,3,2,104,4 Room,Model A,1992,825000,31
Blk 118 Edgefield Plains,https://www.srx.com.sg/listings/100226281/for-sale-edgefield-plains-edgefield-plains,4,2,130,HDB Executive,Apartment,2003,825000,20
Blk 686 Hougang Street 61,https://www.srx.com.sg/listings/100597031/for-sale-hougang-street-61-spacious-5-room-hdb-hougang,3,2,121,None,None,None,438000,None
