Year,Town,Flat_Type,Price
2019,CLEMENTI,3 ROOM,312883.611814346
2019,CLEMENTI,4 ROOM,530721.8280254777
2019,CLEMENTI,5 ROOM,692941.6393442623
2019,CLEMENTI,EXECUTIVE,807611.1111111111
2019,GEYLANG,2 ROOM,189333.33333333334
2019,GEYLANG,3 ROOM,276153.2510288066
2019,GEYLANG,4 ROOM,513335.3405405405
2019,GEYLANG,5 ROOM,691855.9322033898
2019,GEYLANG,EXECUTIVE,704920.0
2019,HOUGANG,2 ROOM,220000.0
2019,HOUGANG,3 ROOM,282764.7582938389
2019,HOUGANG,4 ROOM,391058.1096196868
2019,HOUGANG,5 ROOM,511257.6975609756
2019,HOUGANG,EXECUTIVE,686036.2448979592
2019,JURONG EAST,2 ROOM,240350.0
2019,JURONG EAST,3 ROOM,272715.1538461539
2019,JURONG EAST,4 ROOM,390391.7852348993
2019,JURONG EAST,5 ROOM,517147.2380952381
2019,JURONG EAST,EXECUTIVE,651306.0408163265
2019,JURONG WEST,2 ROOM,217046.73684210525
2019,JURONG WEST,3 ROOM,252118.51359516615
2019,JURONG WEST,4 ROOM,363051.9736408567
2019,JURONG WEST,5 ROOM,440393.53372477065
2019,JURONG WEST,EXECUTIVE,541473.3576119402
2019,KALLANG/WHAMPOA,2 ROOM,215866.66666666666
2019,KALLANG/WHAMPOA,3 ROOM,348582.7195121951
2019,KALLANG/WHAMPOA,4 ROOM,561910.1244019138
2019,KALLANG/WHAMPOA,5 ROOM,732783.9145299145
2019,KALLANG/WHAMPOA,EXECUTIVE,782153.8461538461
2019,MARINE PARADE,3 ROOM,363221.2571428571
2019,MARINE PARADE,4 ROOM,494048.3076923077
2019,MARINE PARADE,5 ROOM,783685.7931034482
2019,PASIR RIS,2 ROOM,257500.0
2019,PASIR RIS,3 ROOM,332642.85714285716
2019,PASIR RIS,4 ROOM,422547.51091703057
2019,PASIR RIS,5 ROOM,495114.5233160622
2019,PASIR RIS,EXECUTIVE,628674.9319727891
2019,PUNGGOL,2 ROOM,248950.0
2019,PUNGGOL,3 ROOM,354997.0
2019,PUNGGOL,4 ROOM,460470.17438271607
2019,PUNGGOL,5 ROOM,516231.6845238095
2019,PUNGGOL,EXECUTIVE,545695.3333333334
2019,QUEENSTOWN,2 ROOM,257815.7894736842
2019,QUEENSTOWN,3 ROOM,357154.59541984735
2019,QUEENSTOWN,4 ROOM,694060.518134715
2019,QUEENSTOWN,5 ROOM,829248.1046511628
2019,QUEENSTOWN,EXECUTIVE,1031666.6666666666
2019,SEMBAWANG,2 ROOM,223557.14285714287
2019,SEMBAWANG,3 ROOM,290782.8888888889
2019,SEMBAWANG,4 ROOM,347267.05533101043
2019,SEMBAWANG,5 ROOM,398854.4175824176
2019,SEMBAWANG,EXECUTIVE,478408.9882352941
