,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price
185,"1.39685895, 103.88055960299619",0.0,0.11512349345663836,0.0024849294274888805,0.0,0.0018063709054767763,0.024134419877898487,0.00549586351443816,0.0,0.0,Bishan,HDB 5 Room,https://www.srx.com.sg/listings/100426421/for-sale-bishan-street-24-bishan-street-24,74,121,350000
186,"1.3984442000000001, 103.88962607213378",0.0,0.1690125279617314,0.0021582753793858702,0.0,0.0030094021956813322,0.020206440351625103,0.004002974990803312,0.0,0.0,Compassvale Lane,HDB 4 Room,https://www.99.co/singapore/sale/property/211d-compassvale-lane-hdb-HpaMa9FQ7ZoCnK6QLe2zYy,89,92,600000
187,"1.39957445, 103.88953728280413",0.0,0.1697245285482767,0.0,0.0,0.0029847044206818283,0.012529774095794585,0.0,0.0,0.0,Choa Chu Kang,HDB 5 Room,https://www.99.co/singapore/sale/property/807c-choa-chu-kang-avenue-1-hdb-EqRea7VJdK3PRzpLjW62rt,93,112,650000
188,"1.40162445, 103.89144666256863",0.0,0.13419596660571972,0.0,0.0,0.002336878506667953,0.010326577651642476,0.0,0.0,0.0,Woodlands,HDB Executive,https://www.99.co/singapore/sale/property/345-woodlands-street-32-hdb-ZsPLJwvmc3BWnwxukDnYW9,71,174,1020000
189,"1.40217465, 103.89198128732876",0.0,3549.810313402915,0.0,0.0,0.002200643707821209,0.014470986959421136,0.0,0.0,0.0,Edgefield,HDB 4 Room,https://www.99.co/singapore/sale/property/114-edgefield-plains-hdb-naoir3hTgrmMnbFw6FNr5X,79,130,750000
190,"1.4044862, 103.89569519226804",0.0,0.17894804434448583,0.002723333010491972,0.004024209848702442,0.0,0.02240818986892601,0.008585956113970748,0.0,0.0,Henderson,HDB 3 Bed,https://www.99.co/singapore/sale/property/95a-henderson-road-hdb-UwEhwtczUtjP6NNnkDNMo5,95,92,1100000
191,"1.4046918, 103.8117337",0.0,0.005506862879637815,0.0,0.0,0.0013215031781682364,0.0,0.0,0.0,0.0,Taman Ho Swee,HDB 3 Room,https://www.99.co/singapore/sale/property/12-taman-ho-swee-hdb-EPMJUfn2aLmizexERSLkbR,46,53,320000
192,"1.40820745, 103.89894851854501",0.0,2425.568492283926,0.005079242607191786,0.005887755334944884,0.0014369911528459558,0.05949368118249603,0.004140956750936551,0.0,0.0,Lorong 7 Toa Payoh,HDB 3 Room,https://www.99.co/singapore/sale/property/13-lorong-7-toa-payoh-hdb-6N7ikKed5pyiuZDmt9qGXB,46,65,348888
193,"1.40947825, 103.90057566673144",0.0,0.15899838332422372,0.005334258169031864,0.005766089229056775,0.002118477930850674,0.0368107164623971,0.0,0.0,0.0,Hougang,HDB 5 Room,https://www.99.co/singapore/sale/property/504-hougang-avenue-8-hdb-B4mB9Ng6o2B4QKmtKoSADu,63,120,600000
194,"1.4112124, 103.90083343066243",0.0,1467.0187958628578,0.0036496093557474916,0.0043182820865598,0.002452351781847275,0.03441005427524257,0.0,0.0,0.0,Bukit Batok East,HDB Executive,https://www.99.co/singapore/sale/property/221-bukit-batok-east-avenue-3-hdb-BGXnYvAhreejoetVVV8V8s,61,148,870000
195,"1.4124874, 103.90000943928571",0.0,0.10014711431290615,0.0028181473626879756,0.003503249602829378,0.0019139799803291303,0.045123407207228294,0.0,0.0,0.0,Fernvale Rivergrove,HDB 4 Room,https://www.srx.com.sg/listings/100126641/for-sale-fernvale-rivergrove-fernvale-street,92,93,448000
196,"1.43352875, 103.82702766018093",0.0,0.07150956077020013,0.0021183059629455887,0.0,0.0,0.016426978686294044,0.012707534065716538,0.0,0.0,Choa Chu Kang Crescent,HDB 4 Room,https://www.99.co/singapore/sale/property/692b-choa-chu-kang-crescent-hdb-HportMJ4M2wJtZmbuvNujz,79,89,518000
197,"1.44273395, 103.77804006124249",0.0,0.10898492283285688,0.0,0.0,0.0019166145312581651,0.0,0.013672662120589072,0.0046878162436095,0.0,Bukit Batok West,HDB 4 Room,https://www.srx.com.sg/listings/100185781/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,95,92,1399999
198,"1.4457054500000002, 103.83331271790347",0.0,0.1354311834708774,0.004850137827657125,0.006063464695187686,0.0011165724829660228,0.0,0.004135502391308508,0.0,0.0,Jurong East,HDB 4 Room,https://www.99.co/singapore/sale/property/219-jurong-east-street-21-hdb-DvAHUhxxhSSosibXhQwgRV,61,90,508000
