School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Juying Primary School,Primary School,31,Jurong West Street 91,649037,"31 Jurong West Street 91, Singapore 649037",,
Keming Primary School,Primary School,90,Bukit Batok East Ave 6,659762,"90 Bukit Batok East Ave 6, Singapore 659762",,
Kheng Cheng School,Primary School,15,Lorong 3 Toa Payoh,319580,"15 Lorong 3 Toa Payoh, Singapore 319580",,
Kong Hwa School,Primary School,35,Guillemard Road,399772,"350 Guillemard Road, Singapore 399772",,
Kranji Primary School,Primary School,11,Choa Chu Kang Street 54,689189,"11 Choa Chu Kang Street 54, Singapore 689189",,
Kuo Chuan Presbyterian Primary School,Primary School,8,Bishan Street 13,579793,"8 Bishan Street 13, Singapore 579793",,
Lakeside Primary School,Primary School,161,Corporation Walk,618310,"161 Corporation Walk, Singapore 618310",,
Lianhua Primary School,Primary School,2,Bukit Batok Street 52,659243,"2 Bukit Batok Street 52, Singapore 659243",,
Maha Bodhi School,Primary School,10,Ubi Avenue 1,408931,"10 Ubi Avenue 1, Singapore 408931",,
Maris Stella High School (Primary Section),Primary School,25,Mount Vernon Road,368051,"25 Mount Vernon Road, Singapore 368051",,
Marsiling Primary School,Primary School,31,Woodlands Centre Road,738927,"31 Woodlands Centre Rd, Singapore 738927",,
Marymount Convent School,Primary School,20,Marymount Road,297754,"20 Marymount Road, Singapore 297754",,
Mayflower Primary School,Primary School,6,Ang Mo Kio Ave 2,569948,"6 Ang Mo Kio Ave 2, Singapore 569948",,
Mee Toh School,Primary School,21,Edgedale Plains,828867,"21 Edgedale Plains, Singapore 828867",,
Meridian Primary School,Primary School,20,Pasir Ris Street 71,518798,"20 Pasir Ris Street 71, Singapore 518798",,
Methodist Girls' School (Primary),Primary School,11,Blackmore Drive,599986,"11 Blackmore Drive, Singapore 599986",,
Montfort Junior School,Primary School,52,Hougang Ave 8,538786,"52 Hougang Ave 8, Singapore 538786",,
Nan Chiau Primary School,Primary School,50,Anchorvale Link,545080,"50 Anchorvale Link, Singapore 545080",,
Nan Hua Primary School,Primary School,30,Jln Lempeng,128806,"30 Jln Lempeng, Singapore 128806",,
Nanyang Primary School,Primary School,52,Kingâ€™s Road,268097,"52 Kingâ€™s Road, Singapore 268097",,
Ngee Ann Primary School,Primary School,344,Marine Terrace,449149,"344 Marine Terrace, Singapore 449149",,
Naval Base Primary School,Primary School,7,Yishun Ave 4,769028,"7 Yishun Ave 4, Singapore 769028",,
New Town Primary School,Primary School,30,Tanglin Halt Road,148812,"300 Tanglin Halt Road, Singapore 148812",,
Northland Primary School,Primary School,15,Yishun Ave 4,769026,"15 Yishun Ave 4, Singapore 769026",,
Northoaks Primary School,Primary School,61,Sembawang Drive,757622,"61 Sembawang Drive, Singapore 757622",,
North Spring Primary School,Primary School,1,Rivervale Street,545088,"1 Rivervale Street, Singapore 545088",,
North View Primary School,Primary School,210,Yishun Avenue 6,768960,"210 Yishun Avenue 6, Singapore 768960",,
North Vista Primary School,Primary School,20,Compassvale Link,544974,"20 Compassvale Link, Singapore 544974",,
Oasis Primary School,Primary School,71,Edgefield Plains,828716,"71 Edgefield Plains, Singapore 828716",,
Opera Estate Primary School,Primary School,48,Fidelio Street,458436,"48 Fidelio Street, Singapore 458436",,
Palm View Primary School,Primary School,150,Compassvale Bow,544822,"150 Compassvale Bow, Singapore 544822",,
Park View Primary School,Primary School,60,Pasir Ris Drive 1,519524,"60 Pasir Ris Drive 1, Singapore 519524",,
