Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Spring Haven,HDB 3 Room,561A,Spring Haven @ Jurong,,Blk 561A Spring Haven @ Jurong,,,93,94,450000,https://www.srx.com.sg/listings/98722371/for-sale-spring-haven-jurong-mop-5-years-unit-very-good-layout-feels-like-5rm,5.0,3,2.0
Bukit Batok West,HDB 5 Room,442A,Bukit Batok West Avenue 8,,Blk 442A Bukit Batok West Avenue 8,,,112,94,450000,https://www.srx.com.sg/listings/98747161/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,5.0,3,2.0
Yishun,HDB 4 Room,437,Yishun Avenue 6,,Blk 437 Yishun Avenue 6,,,84,64,818000,https://www.srx.com.sg/listings/98747041/for-sale-yishun-avenue-6-yishun-avenue-6,35.0,3,2.0
Punggol Breeze,HDB 4 Room,619D,Punggol Breeze,,Blk 619D Punggol Breeze,,,95,89,818000,https://www.srx.com.sg/listings/98721621/for-sale-punggol-breeze-4a-premium-apartment-corner-unit,10.0,3,2.0
Anchorvale,HDB 5 Room,317A,Anchorvale Road,,Blk 317A Anchorvale Road,,,111,79,818000,https://www.srx.com.sg/listings/98685971/for-sale-anchorvale-road-anchorvale-road,20.0,3,2.0
Yishun,HDB 5 Room,625,Yishun Street 61,,Blk 625 Yishun Street 61,,,121,63,680000,https://www.srx.com.sg/listings/98739901/for-sale-yishun-street-61-yishun-street-61,36.0,3,2.0
Lavender Gardens,HDB 4 Room,816,Lavender Gardens,,Blk 816 Lavender Gardens,,,85,79,680000,https://www.srx.com.sg/listings/100331571/for-sale-lavender-gardens-jellicoe-road,20.0,3,2.0
Orchid Spring,HDB 4 Room,430B,Orchid Spring @ Yishun,,Blk 430B Orchid Spring @ Yishun,,,92,91,680000,https://www.srx.com.sg/listings/100334701/for-sale-orchid-spring-yishun-yishun-avenue-11,8.0,3,2.0
Toa Payoh East,HDB 3 Room,25,Toa Payoh East,,Blk 25 Toa Payoh East,,,67,47,850000,https://www.srx.com.sg/listings/100334611/for-sale-toa-payoh-east-toa-payoh-east,52.0,3,2.0
Boon Lay,HDB 5 Room,268A,Boon Lay Drive,,Blk 268A Boon Lay Drive,,,110,78,850000,https://www.srx.com.sg/listings/94730461/for-sale-boon-lay-drive-boon-lay-drive,21.0,3,2.0
