,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
33,"1.2809004499999999, 103.8096075712609",0.048003584996913366,0.14296279804971082,0.0043127090090299865,0.0,0.003798735195864344,0.012720406276964406,0.0059229695868927,0.0,0.0,DEPOT,HDB 5 ROOM,https://www.99.co/singapore/sale/property/109a-depot-road-hdb-PRkwYCC7FRv5crKqGe69FX,82,116,790000,BUKIT MERAH,0.05,0.025,0.2927212031153757,0.8171808554209762,17.910429568530358
34,"1.28105555, 103.81162144271929",0.021574617647656287,0.07736509386695167,0.0020092676959589397,0.0,0.0036911611124912608,0.01265534386282692,0.0071011350493608415,0.0,0.0,DEPOT,HDB 4 ROOM,https://www.99.co/singapore/sale/property/105a-depot-road-hdb-jbt4xaycXJ6Jwu7uAnSetf,93,91,766000,BUKIT MERAH,0.05,0.035,0.2093966192352459,0.3079065032512523,34.003279733325066
35,"1.2810986999999998, 103.82995250055936",0.0065797888736143124,0.11558790173679158,0.003257710133534872,0.004679116016226968,0.0011480779842431884,0.016816595421644685,0.004066604428113056,0.0,0.0,KIM TIAN,HDB 5 ROOM,https://www.99.co/singapore/sale/property/127d-kim-tian-road-hdb-nJM8YBhvbSviXKaDdCdt2U,89,112,1498888,BUKIT MERAH,0.05,0.025,0.22713579459416863,0.8171808554209762,13.897522995515974
36,"1.2814589, 103.80917388576353",0.02985737203042111,0.09293739882166474,0.006770466135547772,0.0,0.0029336363951280625,0.011952276559768223,0.006103631866203052,0.0,0.0,DEPOT,HDB 3 ROOM,https://www.99.co/singapore/sale/property/110a-depot-road-hdb-AxGmrQV9STeLHuGqUyFonL,93,66,645000,BUKIT MERAH,0.03,0.035,0.21555478180873294,0.0,0.0
37,"1.2816934, 103.80690125000001",0.011464097186604077,0.07079181113085517,0.008062604803249749,0.0,0.0018836258561181804,0.0063992090475108055,0.004835713134491979,0.0,0.0,DEPOT,HDB 5 ROOM,https://www.99.co/singapore/sale/property/114-depot-road-hdb-9rtzdyvrxd9RutNZ8UFHUt,52,116,700000,BUKIT MERAH,0.05,0.02,0.17343706115882992,0.8171808554209762,10.61191411964018
38,"1.2819979, 103.82965489967468",0.008175451321854644,0.13245093389688734,0.003931042738176618,0.008607316984217236,0.0012902973317374536,0.017332180867130686,0.004178823950430965,0.0,0.0,KIM TIAN,HDB 4 ROOM,https://www.99.co/singapore/sale/property/127a-kim-tian-road-hdb-PYsnkyRn7mb3vrDUDkmzu4,89,86,850000,BUKIT MERAH,0.04,0.025,0.24096604709043495,0.3079065032512523,39.12974304635037
39,"1.282221, 103.824652",0.009785995099860103,0.17848167438017695,0.003453750196363177,0.005715081213925031,0.0018809183449593537,0.023828700176108907,0.01044958464807671,0.0,0.0,JALAN MEMB,HDB 4 ROOM,https://www.99.co/singapore/sale/property/27a-jalan-membina-hdb-agZsAmgiionsRU3tPSfLMu,84,90,950000,BUKIT MERAH,0.05,0.025,0.3085957040594703,0.3079065032512523,50.0
40,"1.28223555, 103.82462402019462",0.009755719680258092,0.17735210103395044,0.003449385608231552,0.00571127270800713,0.0018862808554007474,0.023781638217398243,0.010459189376559527,0.0,0.0,JALAN MEMBINA,HDB 4 ROOM,https://www.srx.com.sg/listings/100340211/for-sale-jalan-membina-jalan-membina,84,90,360000,BUKIT MERAH,0.05,0.025,0.3073955874798057,0.3079065032512523,49.9170339427632
41,"1.2822391, 103.82511443574904",0.0101842109660223,0.2104042942395745,0.003661205372387325,0.006036173188127788,0.0018848695797614224,0.025493458586042406,0.010244847619164258,0.0,0.0,JALAN MEMBINA,HDB 3 ROOM,https://www.srx.com.sg/listings/100676741/for-sale-jalan-membina-jalan-membina,85,60,600000,BUKIT MERAH,0.03,0.025,0.32290905955107996,0.0,0.0
42,"1.282245, 103.825077",0.010143498352444458,0.20712353077027906,0.003648616187527381,0.00601918939902606,0.0018881183608400493,0.025402311194659893,0.010262015198459064,0.0,0.0,JALAN MEMB,HDB 3 ROOM,https://www.99.co/singapore/sale/property/26d-jalan-membina-hdb-Frcn772dDLeQhBVYdDZ4R5,85,59,685000,BUKIT MERAH,0.03,0.025,0.31948727946323596,0.0,0.0
